"cluster_label","cluster_color","cluster_order","subclass_label","subclass_color","subclass_order","class_label","class_color","class_order"
"Pvalb_8","#A64A52",55,"Pvalb","#D93137",8,"Neuronal: GABAergic","#F05A28",1
"Pvalb_7","#B25159",56,"Pvalb","#D93137",8,"Neuronal: GABAergic","#F05A28",1
"Pvalb_1","#F97D86",57,"Pvalb","#D93137",8,"Neuronal: GABAergic","#F05A28",1
"Pvalb_3","#E16E77",58,"Pvalb","#D93137",8,"Neuronal: GABAergic","#F05A28",1
"Pvalb_2","#ED757E",59,"Pvalb","#D93137",8,"Neuronal: GABAergic","#F05A28",1
"Pvalb_15","#54181E",60,"Pvalb","#D93137",8,"Neuronal: GABAergic","#F05A28",1
"Pvalb_14","#5F1F25",61,"Pvalb","#D93137",8,"Neuronal: GABAergic","#F05A28",1
"Pvalb_12","#772D34",62,"Pvalb","#D93137",8,"Neuronal: GABAergic","#F05A28",1
"Pvalb_10","#8E3C43",63,"Pvalb","#D93137",8,"Neuronal: GABAergic","#F05A28",1
"Pvalb_13","#6B262C",64,"Pvalb","#D93137",8,"Neuronal: GABAergic","#F05A28",1
"Pvalb_9","#9A434A",65,"Pvalb","#D93137",8,"Neuronal: GABAergic","#F05A28",1
"Chandelier_1","#F87CC3",66,"Chandelier","#F641A8",9,"Neuronal: GABAergic","#F05A28",1
"Chandelier_2","#AD2D76",67,"Chandelier","#F641A8",9,"Neuronal: GABAergic","#F05A28",1
"L2/3 IT_1","#EEF987",68,"L2/3 IT","#B1EC30",10,"Neuronal: Glutamatergic","#00ADF8",2
"L2/3 IT_2","#E1EC7F",69,"L2/3 IT","#B1EC30",10,"Neuronal: Glutamatergic","#00ADF8",2
"L2/3 IT_6","#ADBC63",70,"L2/3 IT","#B1EC30",10,"Neuronal: Glutamatergic","#00ADF8",2
"L2/3 IT_7","#A0B05C",71,"L2/3 IT","#B1EC30",10,"Neuronal: Glutamatergic","#00ADF8",2
"L2/3 IT_5","#BAC86A",72,"L2/3 IT","#B1EC30",10,"Neuronal: Glutamatergic","#00ADF8",2
"L2/3 IT_13","#536831",73,"L2/3 IT","#B1EC30",10,"Neuronal: Glutamatergic","#00ADF8",2
"L2/3 IT_10","#798C46",74,"L2/3 IT","#B1EC30",10,"Neuronal: Glutamatergic","#00ADF8",2
"L2/3 IT_8","#93A454",75,"L2/3 IT","#B1EC30",10,"Neuronal: Glutamatergic","#00ADF8",2
"L2/3 IT_12","#5F7438",76,"L2/3 IT","#B1EC30",10,"Neuronal: Glutamatergic","#00ADF8",2
"L6 IT_1","#BEB867",77,"L6 IT","#A19922",13,"Neuronal: Glutamatergic","#00ADF8",2
"L6 IT_2","#716C18",78,"L6 IT","#A19922",13,"Neuronal: Glutamatergic","#00ADF8",2
"L4 IT_2","#72C3C7",79,"L4 IT","#00E5E5",11,"Neuronal: Glutamatergic","#00ADF8",2
"L4 IT_3","#579697",80,"L4 IT","#00E5E5",11,"Neuronal: Glutamatergic","#00ADF8",2
"L4 IT_4","#3C6868",81,"L4 IT","#00E5E5",11,"Neuronal: Glutamatergic","#00ADF8",2
"L5 IT_1","#B0DFE2",82,"L5 IT","#50B2AD",12,"Neuronal: Glutamatergic","#00ADF8",2
"L5 IT_3","#82ADAD",83,"L5 IT","#50B2AD",12,"Neuronal: Glutamatergic","#00ADF8",2
"L2/3 IT_3","#D4E078",84,"L2/3 IT","#B1EC30",10,"Neuronal: Glutamatergic","#00ADF8",2
"L4 IT_1","#8DF2F7",85,"L4 IT","#00E5E5",11,"Neuronal: Glutamatergic","#00ADF8",2
"L5 IT_2","#99C6C7",86,"L5 IT","#50B2AD",12,"Neuronal: Glutamatergic","#00ADF8",2
"L5 IT_5","#547B79",87,"L5 IT","#50B2AD",12,"Neuronal: Glutamatergic","#00ADF8",2
"L5 IT_6","#3D625F",88,"L5 IT","#50B2AD",12,"Neuronal: Glutamatergic","#00ADF8",2
"L5 IT_7","#264945",89,"L5 IT","#50B2AD",12,"Neuronal: Glutamatergic","#00ADF8",2
